info_nutricional.id,info_nutricional.receta,info_nutricional.porcion,info_nutricional.valor_energetico,info_nutricional.carbohidratos,info_nutricional.proteinas,info_nutricional.grasas_totales,info_nutricional.grasas_saturadas,info_nutricional.grasas_trans,info_nutricional.fibra_alimentaria,info_nutricional.sodio,info_nutricional.calcio
1,Bastoncitos con mayonesa de zanahoria,4 porciones por receta,"213,38 kcal","32,90g","3,57g","7,50g",0g,0g,"7,38g","108,62mg","82,07mg"
2,Tortitas de zapallito y cebolla,4 Porciones por receta,"88,04Kcal","12,06g","4,46g","2,44g","1,15g",0g,"3,06g","102,73mg","100,11mg"
3,Papas sorpresa,4 porciones por receta,"355,48 kcal","35,75g","14,87g",17g,"7,50g",0g,"6,16g","369,60mg","347,37mg"
4,Napolitanas de berenjena,4 porciones por receta,"432,35 Kcal","35,82g",20g,"23,23g","8,02g",0g,"7,58g","491,32mg","422,70g"
5,Helado rápido de banana,2 porciones por receta,"643,60 Kcal",67g,"23,70g","31,20g","11,50g",0g,"9,24g","354,90mg","797,20mg"
6,Veggie Nuggets ,8 porciones por receta,"275,48 Kcal","41,47g","6,34g","9,36g","2,32g",0g,"6,47g","243,27mg","162,81mg"
7,Pinchos Caprese,3 porciones por receta,"229,32Kcal",5g,"16,33g",16g,10g,0,"3,10g",483mg,"447,66mg"
8,Tomates rellenos,4 porciones por receta,"367,64Kcal","28,07g","14,70g","21,84g","4,89g","0,06g","6,49g","582,05mg","221,47mg"
9,Librito de papa y zanahoria,4 porciones por receta,"135,06Kcal","26,37g","4,02g","1,50g","1,25g",0g,"3,74g","68,42mg","101,05mg"
10,Croquetas de calabaza,6 porciones por receta,"273,20Kcal","40,25g","8,70g","8,60g","1,50g",0g,"4,40g","138,98mg","88,15mg"
11,Rollitos de pollo con guacamole,6 porciones por receta,"175,28Kcal","11,35g","21,22g",5g,"3,8g",0g,"2,80g","100,26mg","48,55mg"
12,Buñuelos de hojas verdes,4 porciones por receta,"234,03Kcal","7,50g","7,65g","19,27g","1,50g",0g,"1,86g","121,30g","68,80g"
13,Pasta al brócoli,4 porciones por receta,"636,40Kcal","80,50g","28,20g","22,40g","8,30g","0,30g","7,21g","348,40mg","96,40mg"
14,Fajitas Veggie,4 porciones por receta,"505,30Kcal","58,95g","23,50g","19,50g","7,50g",0g,"11,61g",591mg,"465,90mg"
15,Risotto multicolor,4 porciones por receta,"1226,18Kcal","114,47g","67,20g","55,50g","13,95g",0g,"8,65g","683,07mg","254,15mg"
16,Tarta de pollo y calabaza,6 porciones por receta,"473,09Kcal","49,33g","29,50g","17,53g",3g,0g,"5,80g","384,58mg","265,91mg"
17,Pizza Veggie,4 porciones por receta,"550,41Kcal","52,42g","23,15g","27,57g","9,37g",0g,"7,99g","587,52mg","458,83mg"
18,Torre de crepes de remolacha,4 porciones por receta,"601,44Kcal","43,52g","26,02g","35,92g","13,30g","0,43g","6,05g","626,77mg","342,60mg"
19,Zapallitos rellenos,2 porciones por receta,484Kcal,20g,"33,27g","30,10g","9,37g","1,10g","9,88g","460,22mg","352,42mg"
20,Omellette nutritivo,1 porcion por receta,"773,20Kcal",16g,"35,55g",63g,14g,0g,"7,97g","753,60mg","612,75mg"
21,Milamburguesa de arroz y vegetales,4 Porciones por receta,"190,08Kcal","30,75g","8,67g","3,60g","2,25g",0g,"4,48g","206,55mg","140,97mg"
22,Crepes de fruta fresca,5 porciones por receta,"422,56Kcal","77,69g","14,81g","5,84g","4,55g",0g,"7,16g","234,80mg","114,06mg"
23,Gelatina frutal,8 porciones por receta,52Kcal,"10,50g","2,50g",0g,0g,0g,"0,80g","73,12mg","7,87mg"
24,Pinchos coloridos,2 porciones por receta,117Kcal,27g,"2,25g",0g,0g,0g,"4,83g","15,75mg","47,25mg"
25,Smoothie ,1 porción por receta,339Kcal,"39,08g","12,10g","14,92g","5,58g",0g,"9,30g",131mg,"395,50mg"
26,Helado de yogur y frutos rojos,2 porciones por receta,"150,60Kcal",27g,"5,25g","2,40g",2g,0g,"2,69g","67,75mg","151,25mg"
27,Galletitas de banana,4 Porciones por receta,203Kcal,44g,"6,75g",0g,0g,0g,"4,76g","108,25mg","42,75mg"
28,Pudin de chia,1 porción por receta,"513,25Kcal","47,33g","16,05g","28,87g","5,06g",0g,"12,83g","141,65mg","407,45mg"
29,Paletas frutales,6 porciones por receta,65Kcal,15g,"1,25g",0g,0g,0g,"1,79g","8,75mg","26,25mg"
30,Flan de manzana sin huevo,4 porciones por receta,"186,40Kcal","43,50g","3,10g",0g,0g,0g,"4,07g","27,80mg","55,20mg"
