preparacion.id	preparacion.paso	preparacion.receta
1	Pelar las zanahorias y cortarlas en trozos, cocinar. Pueden ser hervidas o cocinadas al horno, aunque la mejor opcion siempre es al vapor para evitar la perdida de nutrientes. una vez cocidas, reservar. Pelar las papas (o batatas o calabaza), y cortarlas en bastones de tamaño similar. Colocar en bandeja aceitada y meter al horno. Cocinar hasta que esten crocantes. Mientras se cocinan los bastoncitos, tomar las zanahorias y procesarlas con el medio ajo, la sal y el jugo de limon. Incorporar el aceite en forma de hilo. Servir. ¡Delicioso!	Bastoncitos de zanahoria
2	Rallar los zapallitos y la cebolla, mezclarlos en un bowl con la leche y el huevo previamente batido. Incorporar sal y pimienta. Añadir las cucharadas de harina, mezclar bien. Por ultimo, en una sarten caliente colocar la mezcla en forma circular dandole el tamaño deseado. Tambien pueden ser horneados si asi lo deseas. 	Tortitas de zapallito y cebolla
3	Hervir las papas con piel por aproximadamente media hora, hasta que esten tiernas sin que se quiebre la piel.  Retirar y esperar que se enfrien. Mientras saltear los vegetales, cortados bien chiquitos, en una sarten antiadherente. Agregar la pizca de sal y pimienta. Reservar. Cortar el queso muzzarella en cubitos. Una vez que las papas estan frias, cortar un ovalo en la parte superior y ahuecarlas. Introducir los vegetales salteados y por ultimo, los cubitos de muzzarella. Cocinar en horno envueltas en papel aluminio por 10 minutos, o destapadas hasta que gratine la muzzarella. ¡A disfrutar!	Papas sorpresa
4	Cocinar el brócoli preferentemente al vapor, para evitar la perdida de nutrientes. Sino hervir, controlando que no se pase. Una vez cocido, enfriar y picar finamente flor y troncos tiernos. Reservar. Poner el agua de la pasta a hervir y cocinar según indicación. En una ollita, poner la manteca a derretir, luego incorporar la harina de trigo, revolviendo hasta unificar. Comenzar a incorporar el caldo de a poco y revolviendo, hasta que la preparación comience a tomar cierta consistencia. Una vez que tomo la consistencia deseada de salsa, sacar del fuego e incorporar el brócoli picado. No es necesario incorporar sal, a menos que el caldo casero no posea. 	Pasta al brócoli
5	Para las milanesas: Lavar las berenjenas y cortarlas dejando 1 cm de espesor. Pasar primero por el  huevo batido previamente con un tenedor y mezclado con la sal y la pimienta. Pasar luego por el rebozador mezclado con las semillas. Colocar en placa aceitada y hornear hasta que se doren. Para la salsa: procesar o licuar o mixear los tomates. Picar la cebolla y el ajo. En una sarten, colocar el aceite, la cebolla y el ajo hasta dorar, agregar el tomate triturado, el azucar, la sal y la pimienta. Cocinar hasta que el tomate tome un color rojo intenso. Cortar la muzarella en cubos. Voltear las milanesas ya horneadas, dejandolas en la placa. Colocar salsa de tomate y muzarella. Hornear hasta que se derrita el queso. Servir con un poco de oregano. ¡A disfrutar!	Napolitanas de berenjena
6	Pelar y cortar la banana en rodajitas. Colocar en un recipiente apto freezer y congelar. Una vez congeladas, procesar o licuar, agregando de a chorritos la leche y haciendo pausas entre medio. Incorporar la esencia de vainilla. Las nueces y almendras podes colocarlas en este momento o enteras al finalizar. ¡No es necesario endulzar!	Helado rápido de banana
7	Preparar la gelatina según las instrucciones de la caja. Una vez que se enfría, colocar en la heladera mientras cortamos la banana y la manzana en pequeños trozos. Incorporar a la gelatina. Esperar a que solidifique y... ¡A probar!	Gelatina frutal
9	Cortar las frutas en trozos del tamaño deseado, y colocarlas en los moldes para paletas, terminar de rellenar los espacios libres con el jugo de naranja. Congelar y ¡a disfrutar!	Paletas frutales
10	Primero rallar la zanahoria muy finamente. cocinar el brócoli preferentemente al vapor y cortarlo finamente. en un bol mezclar la zanahoria, el brócoli, el ajo, los huevos, la miga de pan y el queso, hasta que estén bien combinados. formar bolitas, aplanar y rebozar en pan rallado mezclado con las semillas. por último hornear hasta que estén crocantes en una placa aceitada	Veggie Nuggets 
11	Cortar el queso en cubos grandes. En palitos de brochette intercalar un cubo de queso, una hoja de albahaca y un tomate cherry. Repetir 3 veces en cada palillo.	Pinchos Caprese
